question_id,context_id,title,context,question,answer,question_type
21304,1,天明の打ちこわし,天明の打ちこわしとは、江戸時代の天明7年5月、ほぼ同時期に江戸、大坂など当時の主要都市を中心に30か所あまりで発生し、翌6月には石巻、小田原、宇和島などへと波及した打ちこわしの総称である。天明7年5月の打ちこわし発生数は江戸時代を通じて最多であり、特に5月末の江戸打ちこわしは極めて激しかった。全国各地で同時多発的に発生した打ちこわし、とりわけ幕府のお膝元の江戸打ちこわしによって当時幕府内で激しい政争を繰り広げていた田沼意次政権派と、松平定信を押し立てようとする譜代派との争いに決着がつき、田沼派が没落して松平定信が老中首座となり寛政の改革が始まることになった。,江戸時代の天明7年5月、ほぼ同時期に江戸、大坂など当時の主要都市を中心に30か所あまりで発生し、翌6月には石巻、小田原、宇和島などへと波及した打ちこわしの総称を何と呼びますか。,天明の打ちこわし,Syntactic variation
21305,1,天明の打ちこわし,天明の打ちこわしとは、江戸時代の天明7年5月、ほぼ同時期に江戸、大坂など当時の主要都市を中心に30か所あまりで発生し、翌6月には石巻、小田原、宇和島などへと波及した打ちこわしの総称である。天明7年5月の打ちこわし発生数は江戸時代を通じて最多であり、特に5月末の江戸打ちこわしは極めて激しかった。全国各地で同時多発的に発生した打ちこわし、とりわけ幕府のお膝元の江戸打ちこわしによって当時幕府内で激しい政争を繰り広げていた田沼意次政権派と、松平定信を押し立てようとする譜代派との争いに決着がつき、田沼派が没落して松平定信が老中首座となり寛政の改革が始まることになった。,天明7年5月の打ちこわし発生数は江戸時代を通じて最多の打ちこわし発生数を記録したのは天明7年の何月のことですか。,5月,Syntactic variation
21306,2,天明の打ちこわし,"江戸幕府成立後しばらくは、参勤交代制の定着や幕府、諸藩が行った大規模な建築による支出など、主に公共工事など公共の投資によって都市の発展が進んだ。しかし17世紀後半から18世紀になると、交通網の整備、産業の発展、全国的な市場の拡大が進み、経済の中核である都市では自立的な発展が進むようになった。

また同じ時期には、消費物資の荷役、小売を行う業種や、各種飲食業、髪結いなどの理美容、古着屋などといった、都市で生活する人々に対して各種サービス提供を行う新たな生業が発生、発展し、そのことが更なる都市への人口集中を招くという都市への人口集中の連鎖が見られるようになった。このような都市の発展は様々な都市問題の発生という新たな課題を生み出すことになった。",参勤交代制が定着したのは江戸幕府成立前ですか、江戸幕府成立後ですか。,江戸幕府成立後,Syntactic variation
21307,3,天明の打ちこわし,"享保年間になると、寛永20年(1643年)に出された田畑永代売買禁止令の原則が骨抜きとなっていき、延享元年(1744年)にはついに田畑の所有権の移動、そして田畑を買い取り集積することが公式に認められるに至る。その結果各地の農村で地主制が急速に広まっていくことになる。宝暦から天明期になると、領主からの年貢と地主からの小作料という二重の負担に耐え切れなくなった多くの農民が没落し、離農を余儀なくされるようになった。

離農した農民たちの多くは、江戸を始めとする都市に流入した。主に生活苦によって農村から都市へと流入した農民たちは、後述する都市における階層分化によって没落した商工業者などとともに都市での貧民層を形成するようになった。天明7年5月の江戸打ちこわしでも、明和から天明期にかけて江戸近郊の関東農村から離村し、江戸に流入した人たちが打ちこわし勢に参加していたことが確認され、当時の関東地方の農村では地主から小作農までの階層分化が進み、没落した農民層が離村して江戸に流入していったことが想定される。

また多くの下層農民が離村して都市へと流入するようになると、地主にとっても悪影響をもたらすようになった。それは農村人口が減少して小作人が不足し、農業生産に支障をきたすようになったからである。天明期になると労働力不足の結果、地主経営も難しくなってきており、農村自体に行き詰まりが見られるようになっていた。",田畑永代売買禁止令はいつ出されたの?,寛永20年(1643年),Syntactic variation
21308,4,天明の打ちこわし,"天明期は老中と将軍の側近である側用人を兼任していた田沼意次が政治を主導した、いわゆる田沼時代であった。田沼意次の嫡男である田沼意知は天明期になると奏者番そして若年寄となり、また父と同様に将軍側近も勤め、田沼意次の後継者としての地歩を固めつつあった。

天明期は老中と将軍側近である側用人を兼任し、嫡男を後継者とする布石を着々と進めるなど、田沼意次の権勢は絶頂期を迎えていた反面、田沼政治の限界もまた顕著になっていた。まず安永期に小康状態を保っていた幕府財政は天明期に入ると極度に悪化した。これはもちろん天明の大飢饉、浅間山の大噴火などの続発した災害が幕府収入を減少させた半面、支出の増加を招いたことが大きく影響していた。",田沼時代と呼ばれる時期に政治を主導していたのは誰ですか。,田沼意次,Syntactic variation
21309,4,天明の打ちこわし,"天明期は老中と将軍の側近である側用人を兼任していた田沼意次が政治を主導した、いわゆる田沼時代であった。田沼意次の嫡男である田沼意知は天明期になると奏者番そして若年寄となり、また父と同様に将軍側近も勤め、田沼意次の後継者としての地歩を固めつつあった。

天明期は老中と将軍側近である側用人を兼任し、嫡男を後継者とする布石を着々と進めるなど、田沼意次の権勢は絶頂期を迎えていた反面、田沼政治の限界もまた顕著になっていた。まず安永期に小康状態を保っていた幕府財政は天明期に入ると極度に悪化した。これはもちろん天明の大飢饉、浅間山の大噴火などの続発した災害が幕府収入を減少させた半面、支出の増加を招いたことが大きく影響していた。",田沼意知のお父さんは誰なの?,田沼意知,Logical reasoning
21310,5,天明の打ちこわし,田沼はまず1765年に明和五匁銀を発行した。これは西日本、日本海側を中心として流通していた丁銀、豆板銀が秤量貨幣であったのに対し、五匁銀12枚で一両に相当するという計数貨幣として発行された。しかしこの時の試みは金と銀との交換によって生計を成り立たせてきた両替商の抵抗に遭い、市場では五匁銀12枚で一両という計数貨幣としての通用をせず、これまでの丁銀、豆板銀と同じような金貨との交換相場が立てられてしまい、もくろみは失敗に終わった。しかし明和五匁銀の失敗後、安永元年(1772年)には南鐐二朱銀が発行された。南鐐二朱銀は表面に8枚で小判一両となる旨が明記されており、明和五匁銀と同じく計数貨幣としての流通を図った銀貨であった。,明和五匁銀を発行した人は誰なの?,田沼,Syntactic variation
21311,5,天明の打ちこわし,田沼はまず1765年に明和五匁銀を発行した。これは西日本、日本海側を中心として流通していた丁銀、豆板銀が秤量貨幣であったのに対し、五匁銀12枚で一両に相当するという計数貨幣として発行された。しかしこの時の試みは金と銀との交換によって生計を成り立たせてきた両替商の抵抗に遭い、市場では五匁銀12枚で一両という計数貨幣としての通用をせず、これまでの丁銀、豆板銀と同じような金貨との交換相場が立てられてしまい、もくろみは失敗に終わった。しかし明和五匁銀の失敗後、安永元年(1772年)には南鐐二朱銀が発行された。南鐐二朱銀は表面に8枚で小判一両となる旨が明記されており、明和五匁銀と同じく計数貨幣としての流通を図った銀貨であった。,明和五匁銀はいつ発行されましたか。,1765年,Syntactic variation
21312,6,天明の打ちこわし,天明4年1月16日に幕府は、米穀売買勝手令という法令を公布する。これはこの当時、決められた業者のみが米の流通、販売を行うことが出来るとされていた規制を撤廃し、例えば江戸に持ち込まれた米を問屋を通さずして自由に販売してよいとするものであった。問屋を通さない米の販売を認める米穀売買勝手令は当時としては画期的なものであり、米の流通量を増やして米価を引き下げることを目的とした緊急時の時限立法的な色彩が強い法令であった。しかしこの法令は期待したほどの成果を挙げることはできなかった。これは米の流通の活性化という点からは米穀売買勝手令によって大坂からの米の搬出が活発となったが、今度は大坂が米不足に襲われ価格が急騰したため、大坂町奉行所はあわてて大坂からの米の搬出を厳しく制限する措置を行ったことなどによるものであった。結局米穀売買勝手令は天明4年の秋、米の作柄がある程度期待できることが市場に周知されたことによって米価が落ち着きを見せたため、天明4年9月10日に廃令となった。なお米穀売買勝手令は凶作によって再び米価が激しく高騰した天明6年、そして天明7年に再施行され、特に天明7年の施行時には法の意図したものとは全く逆の結果を招き、米価高騰に拍車をかけることになった。,米穀売買勝手令はいつ公布されましたか。,天明4年1月16日,Syntactic variation
21313,6,天明の打ちこわし,天明4年1月16日に幕府は、米穀売買勝手令という法令を公布する。これはこの当時、決められた業者のみが米の流通、販売を行うことが出来るとされていた規制を撤廃し、例えば江戸に持ち込まれた米を問屋を通さずして自由に販売してよいとするものであった。問屋を通さない米の販売を認める米穀売買勝手令は当時としては画期的なものであり、米の流通量を増やして米価を引き下げることを目的とした緊急時の時限立法的な色彩が強い法令であった。しかしこの法令は期待したほどの成果を挙げることはできなかった。これは米の流通の活性化という点からは米穀売買勝手令によって大坂からの米の搬出が活発となったが、今度は大坂が米不足に襲われ価格が急騰したため、大坂町奉行所はあわてて大坂からの米の搬出を厳しく制限する措置を行ったことなどによるものであった。結局米穀売買勝手令は天明4年の秋、米の作柄がある程度期待できることが市場に周知されたことによって米価が落ち着きを見せたため、天明4年9月10日に廃令となった。なお米穀売買勝手令は凶作によって再び米価が激しく高騰した天明6年、そして天明7年に再施行され、特に天明7年の施行時には法の意図したものとは全く逆の結果を招き、米価高騰に拍車をかけることになった。,米穀売買勝手令はいつ廃令になりましたか。,天明4年9月10日,Syntactic variation
21314,6,天明の打ちこわし,天明4年1月16日に幕府は、米穀売買勝手令という法令を公布する。これはこの当時、決められた業者のみが米の流通、販売を行うことが出来るとされていた規制を撤廃し、例えば江戸に持ち込まれた米を問屋を通さずして自由に販売してよいとするものであった。問屋を通さない米の販売を認める米穀売買勝手令は当時としては画期的なものであり、米の流通量を増やして米価を引き下げることを目的とした緊急時の時限立法的な色彩が強い法令であった。しかしこの法令は期待したほどの成果を挙げることはできなかった。これは米の流通の活性化という点からは米穀売買勝手令によって大坂からの米の搬出が活発となったが、今度は大坂が米不足に襲われ価格が急騰したため、大坂町奉行所はあわてて大坂からの米の搬出を厳しく制限する措置を行ったことなどによるものであった。結局米穀売買勝手令は天明4年の秋、米の作柄がある程度期待できることが市場に周知されたことによって米価が落ち着きを見せたため、天明4年9月10日に廃令となった。なお米穀売買勝手令は凶作によって再び米価が激しく高騰した天明6年、そして天明7年に再施行され、特に天明7年の施行時には法の意図したものとは全く逆の結果を招き、米価高騰に拍車をかけることになった。,米穀売買勝手令が再施行されたのは天明6年とまたいつなの?,天明7年,Syntactic variation
21315,7,第五次イタリア戦争,第五次イタリア戦争(1542年-1546年)は、イタリア戦争の一部である。フランス王フランソワ1世とオスマン帝国のスルタンスレイマン1世が神聖ローマ皇帝カール5世とイングランド王ヘンリー8世と戦った。イタリア、フランス、ネーデルラントで戦闘がおき、さらにスペインとイングランドの侵攻が企図されるなど、西ヨーロッパの大半を巻き込んだ戦いとなったが、決着はつかず、いたずらに交戦国の財政を悪化させただけに終わった。,第五次イタリア戦争とは、フランスとオスマン帝国が組み、神聖ローマ帝国とどの国と戦った戦争のことなの?,イングランド,Lexical variation (world knowledge)
21316,7,第五次イタリア戦争,第五次イタリア戦争(1542年-1546年)は、イタリア戦争の一部である。フランス王フランソワ1世とオスマン帝国のスルタンスレイマン1世が神聖ローマ皇帝カール5世とイングランド王ヘンリー8世と戦った。イタリア、フランス、ネーデルラントで戦闘がおき、さらにスペインとイングランドの侵攻が企図されるなど、西ヨーロッパの大半を巻き込んだ戦いとなったが、決着はつかず、いたずらに交戦国の財政を悪化させただけに終わった。,第五次イタリア戦争において、フランスと手を組んだのは、どの国ですか?,オスマン帝国,Lexical variation (world knowledge)
21317,7,第五次イタリア戦争,第五次イタリア戦争(1542年-1546年)は、イタリア戦争の一部である。フランス王フランソワ1世とオスマン帝国のスルタンスレイマン1世が神聖ローマ皇帝カール5世とイングランド王ヘンリー8世と戦った。イタリア、フランス、ネーデルラントで戦闘がおき、さらにスペインとイングランドの侵攻が企図されるなど、西ヨーロッパの大半を巻き込んだ戦いとなったが、決着はつかず、いたずらに交戦国の財政を悪化させただけに終わった。,フランソワ1世とヘンリー8世、カール5世のうち、この文書において王の称号が与えられていないのは、誰か?,カール5世,Lexical variation (world knowledge)
21318,7,第五次イタリア戦争,第五次イタリア戦争(1542年-1546年)は、イタリア戦争の一部である。フランス王フランソワ1世とオスマン帝国のスルタンスレイマン1世が神聖ローマ皇帝カール5世とイングランド王ヘンリー8世と戦った。イタリア、フランス、ネーデルラントで戦闘がおき、さらにスペインとイングランドの侵攻が企図されるなど、西ヨーロッパの大半を巻き込んだ戦いとなったが、決着はつかず、いたずらに交戦国の財政を悪化させただけに終わった。,戦闘は、主にイタリア、フランスとどこで行われたか?,ネーデルラント,Lexical variation (world knowledge)
21319,8,第五次イタリア戦争,戦争は前回の第四次イタリア戦争を終結させたニースの和約の失敗を起因とする。ニースの和約はカールとフランソワの長きにわたる争い、特にミラノ公国への請求を解決しようとした。1542年、口実を見つけたフランソワはすかさず宿敵カールに宣戦した。直後にネーデルラントで戦闘がおき、翌年にフランス=オスマン連合軍がニースを攻囲、北イタリアにも侵攻して血なまぐさいチェレゾーレの戦いを引き起こした。カールとヘンリーはフランスに侵攻したがブローニュ=シュル=メールとサン=ディジエの包囲が長引き、決定的な打撃はついぞ与えられなかった。,どの和約の成立が第四次イタリア戦争を終結させたの?,ニースの和約,Lexical variation (world knowledge)
