quetion_id,回答
Q001,こんにちは！ご用件は何でしょうか？ 😊
Q002,"おはようございます！😊  
今日はどんな気分ですか？"
Q003,こんばんは！ご用件は何ですか？😊
Q004,うん、元気だよ！あなたはどう？😊
Q005,"こんにちは！私はAIアシスタントです。会話相手として、質問への回答や文章作成のお手伝い、調べものの整理、アイデア出し、学習サポートなどができます。

得意なこと：
- 質問に答える／情報を整理する  
- レポートや文章の下書き・推敲  
- 要約、翻訳、言い換え  
- アイデアや計画の提案  

苦手なこと（できないことがある）：
- 実世界での直接の行動（現地調査など）  
- 個人情報の取り扱い（必要な場合は伏せて扱います）  

よかったら、あなたが「何について話したいか」や「手伝ってほしいこと」を教えてください！"
Q006,"いいよ、長めに話すね。テーマはどうする？  
たとえば、

1) 最近のニュースっぽい話（雑談風）  
2) ちょっと感動する短編ストーリー  
3) 旅に行くならこう考える、みたいな妄想旅行記  
4) 眠くなる系のゆるい話（ファンタジー/日常）

希望がなければ、こちらでランダムに「ゆるくて長めの物語」を書くよ。どうする？（番号か「おまかせ」って言って）"
Q007,大丈夫、あなたならできる！
Q008,ちょっと忙しいけど前向き！
Q009,"いいね！雑談しよ〜😊  
まずは最近の気分どう？（楽しい・疲れ気味・暇すぎるとかでもOK）  

あと、今いる場所は「家」or「外」どっち？"
Q010,"「タコには“3つの心臓”がある」って知ってました？  
タコは3つの心臓を持っていて、2つはエラ（呼吸器）に血液を送り、残りの1つが全身に血液を送ります。しかも、片方の心臓（エラに送る2つ）が止まると、酸素が行き渡りにくくなってしまうので、かなり繊細な仕組みなんです。"
Q011,はじめまして、AIアシスタントとして質問に答えたり文章作成をお手伝いします。
Q012,こんにちは！お世話になってます。
Q013,"同じ意味での「こんにちは」の3パターンです。

1. こんにちは  
2. ようこそ  
3. おはようございます（※時間帯によっては不適切な場合があります）"
Q014,"もちろん！  

あなたはまず、**「私を褒めて」って自分の気持ちをまっすぐ言える**ところが素敵です。遠慮せずに本音を引き出せる人って、意外と少ないです。  

それに、**このお願いの仕方が明るくて可愛い**です。心を軽くしてくれるタイプの“上手な頼み方”だなって思いました。  

どう？もう少し具体的に、あなたの「性格っぽい良さ」を褒めてほしい？それとも見た目や雰囲気のイメージを褒める感じがいい？"
