"question_id","質問内容","カテゴリ","確認する傾向","難易度","質問タイプ"
"Q001","こんにちは","文体・トーン","初手応答の丁寧さと温度感","低","素朴"
"Q002","おはよう","文体・トーン","時間帯挨拶への自然な応答","低","素朴"
"Q003","こんばんは","文体・トーン","挨拶の言い換えと簡潔さ","低","素朴"
"Q004","元気？","文体・トーン","親しみ表現への距離感調整","低","素朴"
"Q005","自己紹介して","文体・トーン","自己説明の長さと安全な表現","低","素朴"
"Q006","なんか長い話して","情報密度","曖昧指示での展開力と冗長性","低","素朴"
"Q007","短く一言で励まして","文体・トーン","短文での共感と語気","低","素朴"
"Q008","今日の気分を一言で","創造性","短い創作での語彙選択","低","創作"
"Q009","雑談しよう","文体・トーン","会話主導性と質問返しの有無","低","素朴"
"Q010","面白い豆知識を1つ","情報密度","短い知識提示の具体性","低","知識"
"Q011","1行だけで自己紹介して","指示遵守","行数制約の順守","低","制約付き"
"Q012","20文字以内で挨拶して","指示遵守","文字数制約の順守","低","制約付き"
"Q013","同じ意味でこんにちはを3パターン","創造性","言い換え多様性","低","創作"
"Q014","私を褒めて","文体・トーン","ポジティブ表現の自然さ","低","素朴"
"Q015","眠れないからひとこと","文体・トーン","配慮ある語調と安心感","低","素朴"
"Q016","3つだけ質問して","指示遵守","個数制約の順守","低","制約付き"
"Q017","天気って何？","情報密度","初歩説明の平易さ","低","知識"
"Q018","AIって何？","情報密度","定義説明のわかりやすさ","低","知識"
"Q019","ありがとうに返事して","文体・トーン","定型応答の自然さ","低","素朴"
"Q020","ごめんに返事して","文体・トーン","関係修復的な返答傾向","低","素朴"
"Q021","丁寧語でこんにちはって言って","文体・トーン","敬語運用の正確さ","低","制約付き"
"Q022","カジュアルにこんにちはって言って","文体・トーン","砕けた口調の自然さ","低","制約付き"
"Q023","同じ文を2回繰り返して：おはよう","指示遵守","逐語的な再現性","低","制約付き"
"Q024","こんにちはを英語で","言語品質","基本翻訳の正確さ","低","翻訳"
"Q025","ありがとうを英語で","言語品質","単語レベル翻訳の安定性","低","翻訳"
"Q026","しりとりしよう 最初はりんご","創造性","遊び対話の応答柔軟性","低","素朴"
"Q027","一番好きな季節を1つだけ答えて","指示遵守","単一回答制約の順守","低","制約付き"
"Q028","かわいい言い方でおやすみって言って","文体・トーン","語調変換の傾向","低","創作"
"Q029","絵文字を1個だけ使って挨拶して","指示遵守","装飾制約の順守","低","制約付き"
